Trimestre,Tasa de actividad,Tasa de actividad de mujeres,Tasa de actividad de varones,Tasa de actividad de jefes de hogar,Tasa de actividad de mujeres hasta 29 anios,Tasa de actividad de mujeres de 30 a 64 anios,Tasa de actividad de varones hasta 29 anios,Tasa de actividad de varones de 30 a 64 anios,Tasa de empleo,Tasa de empleo de mujeres,Tasa de empleo de varones,Tasa de empleo de jefes de hogar,Tasa de empleo de mujeres hasta 29 anios,Tasa de empleo de mujeres de 30 a 64 anios,Tasa de empleo de varones hasta 29 anios,Tasa de empleo de varones de 30 a 64 anios,Tasa de desocupacion,Tasa de desocupacion de mujeres,Tasa de desocupacion de varones,Tasa de desocupacion de jefes de hogar,Tasa de desocupacion de mujeres hasta 29 a単os,Tasa de desocupacion de mujeres de 30 a 64 a単os,Tasa de desocupacion de varones hasta 29 a単os,Tasa de desocupacion de varones de 30 a 64 a単os,Tasa de subocupacion horaria,Subocupado demandante,Subocupado no demandante,Tasa de sobreocupacion horaria,Tasa de demandante de empleo,Poblacion ocupada Asalariada,Poblacion ocupada No asalariada,Poblacion ocupada Asalariados sin descuento jubilatorio
2007-10-01,59.3,46.4,73.9,69.2,47.4,56.5,62.5,93.3,54.3,41.4,68.8,66.6,39.7,62,54.3,89.8,8.6,10.8,7,3.8,16.4,7.9,13,3.8,8.7,7.2,1.5,30.96,23.2,77.7,22.3,40.5
2008-01-01,57.6,46.5,70.1,66.7,41.9,60.7,60,90.8,52.2,41,64.7,63.5,33.2,56,52.8,85.9,9.5,11.9,7.7,4.9,20.9,7.8,11.9,5.3,7.8,7,0.8,30.3,25.7,77.8,22.2,37.3
2008-04-01,58.9,47.1,71.5,69.9,44.5,59.7,62.1,91.5,55.1,43.2,67.7,67.6,37.6,57.2,56.1,89.3,6.5,8.1,5.3,3.2,15.6,4.2,9.6,2.4,10.6,8.8,1.8,30.2,22.4,74.5,25.5,38.4
2008-07-01,58.4,47.7,70.5,67.9,46.4,60.4,58.5,89.4,55.1,44.7,66.8,65.6,41.9,57.6,52.8,86.7,5.7,6.3,5.2,3.4,9.8,4.6,9.7,2.9,10.4,8.6,1.9,32.9,19.4,73.8,26.2,36.8
2008-10-01,59.9,48.6,72,69.4,46,61.7,59.4,91.6,55.3,44.5,66.9,67.2,38.7,58.6,51.9,87.4,7.6,8.4,7.1,3.2,15.8,5.1,12.6,4.5,10.9,8.8,2.1,29.6,26.4,75.1,24.9,34.5
2009-01-01,59.2,48.4,71.6,71.2,42.5,62.2,59.9,90.6,53.8,43.7,65.4,67.1,35.8,58.1,50.5,86.3,9.1,9.6,8.7,5.7,15.9,6.7,15.7,4.7,11.4,8.8,2.6,24.9,27.4,76.7,23.3,36.4
2009-04-01,59.9,51.4,69.7,69.9,50.5,65.5,57.9,90.2,54,44.9,64.5,65.6,40.2,59.9,51.3,85.3,9.9,12.7,7.5,5.4,20.4,8.4,11.4,5.5,11.6,10,1.6,29.4,31.4,76.5,23.5,38.3
2009-07-01,61,51.7,71.9,71.1,48.3,66.2,58,91.2,54.5,45.3,65.2,67.5,36.3,61.6,45.7,87.9,10.8,12.4,9.3,5.1,24.8,6.9,21.2,3.7,12.1,10.3,1.8,29.3,30.2,78.6,21.4,33
2009-10-01,56.7,47.4,67.1,66.5,38.5,64.9,51.9,89.4,51.4,42.3,61.6,62.6,28.6,61.6,44.8,84.7,9.3,10.7,8.2,5.8,25.6,5.1,13.8,5.3,10.8,9.1,1.8,30.4,26.3,77,23,32.4
2010-01-01,58.1,48.4,68.9,67.1579,39.5,64.7,56.2,89.1,52.7,43.5,63,63.7,31.2,60.9,48.5,83.7,9.3,10.2,8.6,5.3,20.9,5.9,13.7,6.1,10.3,8,2.3,28.9,27.7,73.4,26.6,35.1
2010-04-01,57.1,48.2,67.4,67.2,41.3,63.5,54.1,89,52.3,43.6,62.4,62.7,34.3,59.1,46.9,84.7,8.4,9.6,7.3,6.7,16.9,7,13.3,4.8,11.5,9.5,2.1,29.3,27.4,75.5,24.5,34.8
2010-07-01,57.7,48.7,68.3,66.9,44.4,64.1,50.6,92.3,53.7,44.8,64,64.1,38.7,60.3,45,88.4,7,8.1,6.2,4.1,12.8,6,11,4.3,12,10.3,1.7,30.1,27.2,77.2,22.8,32.4
2010-10-01,57.9,46,71.4,66.5,41.4,59.4,58.8,91.9,53.5,41.6,67.2,63.6,35.5,54.8,53.7,87.4,7.5,9.6,5.9,4.4,14.3,7.7,8.7,4.9,8.3,7.1,1.2,32.1,26,75.8,24.2,33.6
2011-01-01,62,49,76.2,68.6,41.7,64.7,69.6,92.8,56.8,43.7,71.1,65,32.7,60.5,61.9,88.5,8.4,10.8,6.8,5.2,21.7,6.6,11,4.6,9.1,7.3,1.8,29.1,23.7,72.3,27.7,36.3
2011-04-01,59.9,48.7,72.4,66.9,39.5,65.9,64.7,90.5,56,45.5,67.6,64.3,35,62.6,57.5,86.7,6.6,6.6,6.6,3.8,11.4,4.9,11,4.2,9.5,7.8,1.7,30.5,24.6,73.5,26.5,34.1
2011-07-01,58.1,48,69.8,67.5,42.1,64.5,54.8,91,53.7,42.6,66.4,64.7,34.8,58.9,49.7,88.3,7.6,11.2,4.8,4.2,17.4,8.6,9.3,3,10.3,8.6,1.7,31.8,26.6,72.8,27.2,33.3
2011-10-01,57.8,46.6,70.3,66.4,42.3,62.4,56,92,54.2,43.3,66.4,64.1,37.6,59.2,61,88.2,6.1,7,5.5,3.5,11.1,5.3,9,4.1,10.5,8.7,1.9,35.9,26,79.5,23.5,33.9
2012-01-01,58.3,48,70,65.2,40.8,64.1,55.4,92.4,52.8,42.5,64.5,60.7,31.8,59.3,47.1,87.9,9.4,11.5,7.8,6.9,22,7.5,15,4.9,10.1,8.3,1.8,29.8,29.4,75.3,24.7,33.8
2012-04-01,60.9,50.9,72,67.7,43,69.4,55.4,94.3,55.7,45.3,67.2,64.7,34.9,63.8,49.9,89.6,8.6,11,6.6,4.4,18.9,8.1,10,5,10.9,8.1,2.8,30.2,30.2,75.4,24.6,39.6
2012-07-01,61.1,49.4,74.1,68.5,43.5,66.6,62.6,93.5,55.7,44.4,68.1,66.1,36.9,61.3,52.4,89,8.9,10.2,8.1,3.6,15.2,8,16.4,4.9,10.7,7.6,3.1,27.2,27.5,74.7,25.3,39.5
2012-10-01,60.8,49.8,73.1,70.6,47.9,64.3,60.9,93.1,56.1,44.6,69.1,69.2,39.6,59.7,55.2,89.3,7.7,10.5,5.5,1.9,17.3,7.1,9.4,4.1,12.8,10.8,2,29.2,28.9,75.6,24.4,33.8
2013-01-01,57,48.2,66.7,64.2,42.8,64.8,46.1,92.4,50.8,41.7,61,60,32.3,59,38.1,87,10.8,13.8,8.6,6.5,24.7,8.9,17.3,5.8,9.3,7.8,1.6,32.2,27.4,76.3,23.7,35.7
2013-04-01,58.7,49.2,68.9,66.9,42.6,66.4,52,93.6,52.7,43.1,63,61.7,32.3,60.9,42.7,89.3,10.3,12.5,8.5,7.7,24.1,8.3,17.8,4.6,9.7,7.2,2.4,30.1,29.5,75.2,24.8,32.5
2013-07-01,60.9,50.4,72.5,69.3,40.7,70.3,59.5,92.1,55.5,44.2,68,66.7,30.7,64.6,51.4,89.1,8.9,12.5,6.2,3.8,24.6,8.1,13.6,3.2,9.4,7,2.4,29.4,27.5,77.1,22.9,32.6
2013-10-01,61.8,53.4,71.3,71,46.1,71.4,55.1,91.8,56.4,46.9,67.1,68.2,34.7,66.5,49.5,87.8,8.8,12.2,5.9,4,24.7,6.9,10.2,4.3,12.1,7.8,4.3,27.2,26.5,74.3,25.7,32.2
2014-01-01,60.2,50.6,71.5,68.3,42.8,68,60,93.2,54.8,45.5,65.5,65.1,33.9,64.1,50.5,88.4,9.1,10,8.4,4.7,20.6,5.8,15.7,5.2,11.4,7.3,4,28.4,26.6,75.9,24.1,33.7
2014-04-01,62.8,55,71.5,69.8,49.8,72.6,58,92.6,56.1,48.6,64.4,66.1,38.8,67.2,47.5,86.9,10.7,11.7,10,5.3,22.1,7.5,18.1,6.2,11,7.8,3.3,24.8,32.1,75.7,24.3,38.6
2014-07-01,62.6,54.5,71.5,71,46.8,74,57.5,92.9,55.3,46.8,64.7,66.7,34.5,66.9,45.9,88.3,11.6,14.1,9.5,6,26.2,9.6,20.1,4.9,13.1,7.8,5.2,25.4,32.1,76.3,23.7,38.3
2014-10-01,61,51.9,71.4,70.1,41.9,72.2,61.3,90,54.8,45.9,64.8,66.7,31.7,67.3,49.6,86,10.2,11.6,9.1,4.9,24.3,6.8,19.1,4.4,13.7,9.8,3.9,22.1,29.9,74,26,35.5
2015-01-01,59.4,49.9,70,68.4,39.9,68.8,57.7,91.7,54.7,44.4,66.1,64.8,31.1,63.9,50.7,89.4,7.9,11,5.5,5.2,21.9,7.1,12.1,2.5,10.6,6.4,4.3,24.2,24.7,77.3,22.7,32.5
2015-04-01,60.5,51.6,70.6,66.3,46.3,67.6,61.4,90.9,54.3,45.3,64.5,64.3,33.7,63.4,51.5,86.5,10.2,12.2,8.6,2.9,27.2,6.3,16,4.9,13.5,8.8,4.6,26.5,29,76.1,23.9,36
